Date,Open,High,Low,Close,Adj Close,Volume
2018-06-21,21.309999,21.600000,21.030001,21.049999,19.934126,39700
2018-06-22,21.150000,21.190001,20.930000,21.059999,19.943596,136400
2018-06-25,21.080000,21.740000,20.980000,21.219999,20.095114,7700
2018-06-26,21.139999,21.240000,21.139999,21.230000,20.104584,2600
2018-06-27,21.370001,21.650000,21.059999,21.120001,20.000416,8000
2018-06-28,21.139999,21.690001,21.070000,21.690001,20.540199,20400
2018-06-29,21.500000,21.639999,21.340000,21.600000,20.454971,7000
2018-07-02,21.209999,21.559999,21.209999,21.299999,20.170872,34600
2018-07-03,20.799999,21.100000,20.700001,21.100000,19.981476,38500
2018-07-05,21.190001,21.510000,20.969999,21.250000,20.123524,12900
2018-07-06,21.200001,21.200001,20.340000,21.139999,20.019354,17700
2018-07-09,21.139999,21.450001,21.139999,21.400000,20.265572,7300
2018-07-10,21.260000,21.260000,20.830000,20.889999,19.782608,9700
2018-07-11,20.709999,20.860001,20.709999,20.860001,19.754198,1300
2018-07-12,20.600000,20.950001,20.559999,20.950001,19.839428,4400
2018-07-13,20.620001,20.860001,20.600000,20.860001,19.754198,7600
2018-07-16,21.080000,21.080000,20.570000,20.660000,19.564800,8100
2018-07-17,20.600000,20.620001,20.480000,20.540001,19.451162,3300
2018-07-18,20.350000,20.389999,20.110001,20.190001,19.119715,8600
2018-07-19,20.010000,20.940001,19.600000,20.940001,19.829958,111000
2018-07-20,19.750000,20.840000,19.660000,20.049999,18.987137,53100
2018-07-23,20.049999,20.100000,19.820000,19.990000,18.930317,81900
2018-07-24,20.000000,20.000000,19.860001,19.990000,18.930317,25400
2018-07-25,19.980000,20.490000,19.980000,19.980000,18.920847,3100
2018-07-26,19.980000,19.980000,19.879999,19.900000,18.845087,8000
2018-07-27,19.850000,20.100000,19.850000,20.100000,19.034487,4400
2018-07-30,20.150000,20.299999,20.049999,20.299999,19.223883,20100
2018-07-31,20.580000,20.580000,20.240000,20.379999,19.299643,2600
2018-08-01,19.969999,20.240000,19.969999,20.240000,19.167065,4700
2018-08-02,20.020000,20.360001,20.000000,20.129999,19.062895,79100
2018-08-03,20.020000,20.129999,20.000000,20.129999,19.062895,1700
2018-08-06,20.100000,20.430000,20.040001,20.320000,19.242823,4200
2018-08-07,19.990000,20.150000,19.920000,20.150000,19.081835,15400
2018-08-08,19.990000,20.549999,19.959999,20.080000,19.015547,9400
2018-08-09,20.270000,20.270000,20.020000,20.120001,19.053427,3900
2018-08-10,19.990000,19.990000,19.559999,19.850000,18.797739,20700
2018-08-13,19.799999,19.799999,19.400000,19.410000,18.381063,24400
2018-08-14,19.500000,19.500000,19.330000,19.340000,18.314774,3900
2018-08-15,19.340000,19.500000,19.260000,19.260000,18.239016,12600
2018-08-16,19.400000,19.400000,19.260000,19.260000,18.239016,1500
2018-08-17,19.370001,19.370001,18.990000,19.250000,18.229546,5200
2018-08-20,19.260000,19.330000,19.030001,19.030001,18.021208,3000
2018-08-21,19.200001,19.200001,18.770000,18.900000,17.898098,11800
2018-08-22,18.900000,18.900000,18.559999,18.900000,17.898098,5100
2018-08-23,18.620001,18.900000,18.620001,18.799999,17.803400,11000
2018-08-24,18.790001,18.900000,18.650000,18.900000,17.898098,5200
2018-08-27,19.000000,19.260000,18.900000,19.150000,18.134846,71900
2018-08-28,18.959999,19.230000,18.900000,19.230000,18.210606,4000
2018-08-29,19.230000,19.370001,19.230000,19.299999,18.276894,6000
2018-08-30,19.230000,19.330000,18.610001,19.330000,18.305304,18900
2018-08-31,18.690001,19.350000,18.690001,18.860001,17.860220,10500
2018-09-04,18.799999,18.870001,18.559999,18.570000,17.585592,7500
2018-09-05,18.570000,18.900000,18.500000,18.520000,17.538244,6800
2018-09-06,18.510000,18.790001,18.309999,18.309999,17.339375,31800
2018-09-07,18.430000,18.750000,18.230000,18.230000,17.263615,8700
2018-09-10,18.299999,18.299999,17.750000,17.850000,16.903761,88300
2018-09-11,17.700001,18.270000,17.580000,17.600000,16.667013,6400
2018-09-12,17.290001,17.400000,16.830000,16.830000,15.937831,4300
2018-09-13,16.650000,17.639999,16.600000,16.700001,15.814723,8500
2018-09-14,17.129999,17.610001,17.129999,17.129999,16.221928,5100
2018-09-17,17.139999,17.330000,17.129999,17.129999,16.221928,2400
2018-09-18,17.330000,17.959999,17.129999,17.500000,16.572313,7000
2018-09-19,17.480000,17.830000,17.299999,17.500000,16.572313,7100
2018-09-20,17.950001,17.990000,17.500000,17.500000,16.572313,8000
2018-09-21,17.959999,17.959999,17.959999,17.959999,17.007929,400
2018-09-24,17.830000,17.860001,17.510000,17.580000,16.648073,4200
2018-09-25,17.980000,18.309999,17.660000,18.049999,17.093157,11200
2018-09-26,18.000000,18.219999,17.980000,18.200001,17.235207,3200
2018-09-27,18.309999,18.309999,18.100000,18.100000,17.140509,8100
2018-09-28,18.180000,18.180000,18.000000,18.049999,17.093157,11300
2018-10-01,18.100000,18.280001,17.940001,18.049999,17.093157,71400
2018-10-02,18.059999,18.299999,18.059999,18.059999,17.102627,6400
2018-10-03,18.010000,18.260000,18.000000,18.049999,17.093157,2600
2018-10-04,18.160000,18.160000,18.049999,18.049999,17.093157,12700
2018-10-05,18.049999,18.290001,18.049999,18.180000,17.216267,6500
2018-10-08,18.000000,18.100000,18.000000,18.100000,17.140509,8600
2018-10-09,18.250000,18.250000,18.100000,18.100000,17.140509,1900
2018-10-10,18.309999,18.309999,18.000000,18.000000,17.045809,9900
2018-10-11,18.000000,18.100000,17.600000,18.000000,17.045809,7600
2018-10-12,18.110001,18.500000,18.110001,18.360001,17.386724,9800
2018-10-15,18.410000,18.410000,18.250000,18.340000,17.367785,6500
2018-10-16,18.139999,18.490000,18.139999,18.459999,17.481422,4700
2018-10-17,18.400000,18.400000,18.090000,18.200001,17.235207,1300
2018-10-18,18.100000,18.160000,18.100000,18.160000,17.197327,1800
2018-10-19,18.080000,18.080000,18.000000,18.070000,17.112097,2700
2018-10-22,18.180000,18.200001,18.049999,18.200001,17.235207,5600
2018-10-23,18.200001,18.200001,18.059999,18.129999,17.168917,4400
2018-10-24,18.129999,18.219999,18.049999,18.049999,17.093157,18100
2018-10-25,18.200001,18.340000,18.170000,18.290001,17.320436,4300
2018-10-26,18.170000,18.209999,18.049999,18.209999,17.244675,5900
2018-10-29,18.200001,18.219999,17.959999,17.959999,17.007929,5100
2018-10-30,18.010000,18.150000,18.000000,18.059999,17.102627,7200
2018-10-31,17.990000,18.080000,17.959999,18.059999,17.102627,9000
2018-11-01,17.930000,18.500000,17.840000,18.340000,17.367785,14900
2018-11-02,18.200001,18.200001,17.799999,18.030001,17.074219,8600
2018-11-05,18.190001,18.190001,18.030001,18.030001,17.074219,1100
2018-11-06,18.030001,18.230000,18.030001,18.180000,17.216267,2000
2018-11-07,18.150000,18.299999,18.059999,18.059999,17.102627,21900
2018-11-08,18.100000,18.209999,18.080000,18.120001,17.159449,5300
2018-11-09,18.129999,18.240000,17.520000,18.000000,17.045809,9900
2018-11-12,17.719999,17.719999,17.350000,17.379999,16.458673,5800
2018-11-13,17.580000,17.690001,17.450001,17.629999,16.695421,3000
2018-11-14,17.510000,17.680000,17.219999,17.469999,16.543903,12700
2018-11-15,17.570000,17.590000,17.230000,17.590000,16.657543,1400
2018-11-16,17.590000,17.590000,17.370001,17.590000,16.657543,5400
2018-11-19,17.719999,17.719999,17.290001,17.430000,16.506025,2700
2018-11-20,17.480000,17.480000,17.180000,17.350000,16.430265,2500
2018-11-21,17.510000,17.629999,17.510000,17.629999,16.695421,800
2018-11-23,17.850000,17.940001,17.719999,17.850000,16.903761,6900
2018-11-26,17.780001,17.809999,17.430000,17.459999,16.534433,17100
2018-11-27,17.139999,17.250000,17.139999,17.250000,16.335566,3300
2018-11-28,17.129999,17.270000,17.040001,17.270000,16.354507,15800
2018-11-29,17.010000,17.570000,17.010000,17.020000,16.117760,2400
2018-11-30,17.010000,17.049999,17.000000,17.049999,16.146168,7800
2018-12-03,17.299999,17.299999,17.000000,17.000000,16.098820,21400
2018-12-04,17.219999,17.219999,17.000000,17.000000,16.098820,12900
2018-12-06,17.150000,17.150000,17.000000,17.100000,16.193518,6700
2018-12-07,17.160000,17.280001,17.160000,17.200001,16.288218,2900
2018-12-10,17.010000,17.090000,17.000000,17.090000,16.184048,1800
2018-12-11,17.000000,17.100000,17.000000,17.100000,16.193518,2700
2018-12-12,17.000000,17.250000,17.000000,17.250000,16.335566,800
2018-12-13,17.150000,17.150000,17.000000,17.000000,16.098820,9100
2018-12-14,17.000000,17.000000,16.620001,16.620001,15.738964,6400
2018-12-17,16.799999,16.820000,16.790001,16.820000,15.928361,2600
