Date,Open,High,Low,Close,Adj Close,Volume
2018-12-21,47.279999,47.930000,46.860001,46.999001,46.999001,77800
2018-12-24,47.000000,47.000000,45.575001,45.575001,45.575001,21800
2018-12-26,45.279999,48.630001,45.279999,48.630001,48.630001,101000
2018-12-27,47.009998,47.360001,46.110001,47.150002,47.150002,48300
2018-12-28,46.799999,47.070000,46.029999,46.689999,46.689999,52200
2018-12-31,47.220001,47.529999,46.500000,47.457001,47.457001,30000
2019-01-02,46.189999,49.430000,45.990002,48.276001,48.276001,25300
2019-01-03,49.000000,49.020000,47.459999,48.801998,48.801998,29300
2019-01-04,49.900002,50.959999,49.349998,49.971001,49.971001,30000
2019-01-07,50.340000,51.430000,50.200001,50.438000,50.438000,26500
2019-01-08,51.139999,51.535999,50.880001,51.473999,51.473999,9500
2019-01-09,52.980000,54.380001,52.580002,54.090000,54.090000,59100
2019-01-10,53.470001,54.580002,53.369999,54.480000,54.480000,27400
2019-01-11,53.849998,53.889999,53.261002,53.490002,53.490002,78800
2019-01-14,53.060001,53.557999,52.380001,52.380001,52.380001,23900
2019-01-15,53.250000,54.049999,53.250000,54.049999,54.049999,12600
2019-01-16,53.750000,54.320000,53.709999,54.209999,54.209999,24500
2019-01-17,53.389999,54.380001,52.970001,54.240002,54.240002,25100
2019-01-18,54.560001,55.759998,54.340000,55.509998,55.509998,60700
2019-01-22,54.430000,54.650002,53.674999,54.650002,54.650002,40800
2019-01-23,54.779999,54.869999,53.599998,54.192001,54.192001,20400
2019-01-24,54.500000,55.020000,54.259998,54.807999,54.807999,6200
2019-01-25,54.980000,55.450001,54.799999,55.169998,55.169998,13500
2019-01-28,53.619999,53.789001,52.900002,53.720001,53.720001,56900
2019-01-29,54.540001,55.500000,54.540001,54.939999,54.939999,16600
2019-01-30,55.680000,56.549999,55.490002,55.950001,55.950001,25200
2019-01-31,56.430000,56.990002,55.369999,55.590000,55.590000,17900
2019-02-01,56.020000,57.360001,56.020000,57.099998,57.099998,21400
2019-02-04,55.959999,56.500000,55.009998,56.389999,56.389999,17100
2019-02-05,55.410000,56.160000,55.200001,55.380001,55.380001,12500
2019-02-06,54.980000,55.900002,54.669998,55.650002,55.650002,20100
2019-02-07,55.209999,55.320000,53.500000,54.250000,54.250000,19400
2019-02-08,54.419998,54.480000,54.099998,54.299999,54.299999,8600
2019-02-11,53.270000,54.049999,52.939999,53.970001,53.970001,14100
2019-02-12,55.520000,55.590000,54.768002,54.768002,54.768002,11500
2019-02-13,55.500000,56.254002,55.500000,55.681999,55.681999,29200
2019-02-14,55.270000,56.279999,54.930000,56.202999,56.202999,6100
2019-02-15,57.049999,57.528999,56.779999,57.493999,57.493999,14400
2019-02-19,57.139999,57.919998,57.139999,57.919998,57.919998,22700
2019-02-20,57.840000,58.910000,57.830002,58.548000,58.548000,14100
2019-02-21,58.369999,58.398998,58.090000,58.209999,58.209999,7400
2019-02-22,58.889999,59.111000,58.582001,58.650002,58.650002,54800
2019-02-25,57.549999,57.647999,56.479000,56.799999,56.799999,28800
2019-02-26,56.869999,57.203999,56.700001,57.040001,57.040001,14900
2019-02-27,58.110001,58.765999,57.820000,58.425999,58.425999,11500
2019-02-28,58.450001,58.740002,58.340000,58.633999,58.633999,47000
2019-03-01,58.890999,59.000000,56.959999,57.195000,57.195000,8100
2019-03-04,58.230000,58.299999,57.591999,57.980000,57.980000,1900
2019-03-05,58.410000,58.410000,57.820000,57.939999,57.939999,3900
2019-03-06,57.410000,57.700001,57.000000,57.610001,57.610001,5000
2019-03-07,57.779999,58.150002,57.700001,57.987000,57.987000,8700
2019-03-08,56.369999,57.553001,56.009998,57.553001,57.553001,11700
2019-03-11,58.230000,58.400002,57.950001,58.220001,58.220001,19800
2019-03-12,58.669998,58.939999,58.270000,58.328999,58.328999,31900
2019-03-13,59.110001,59.866001,59.080002,59.826000,59.826000,19900
2019-03-14,60.000000,60.160000,59.900002,60.000000,60.000000,8200
2019-03-15,59.430000,60.000000,59.380001,59.849998,59.849998,72300
2019-03-18,59.950001,60.619999,59.950001,60.419998,60.419998,14300
2019-03-19,60.830002,60.939999,60.250000,60.273998,60.273998,9000
2019-03-20,60.209999,61.432999,60.160000,61.299000,61.299000,12300
2019-03-21,61.320000,61.349998,60.995998,61.016998,61.016998,11500
2019-03-22,60.410000,60.410000,59.615002,60.075001,60.075001,8700
2019-03-25,59.869999,60.230000,59.450001,60.132000,60.132000,10200
2019-03-26,61.400002,61.439999,61.060001,61.223999,61.223999,14200
2019-03-27,61.285000,61.285000,60.567001,60.567001,60.567001,3000
2019-03-28,59.770000,60.589001,59.770000,60.589001,60.589001,2000
2019-03-29,61.630001,61.630001,61.180000,61.310001,61.310001,12600
2019-04-01,61.950001,62.980000,61.779999,62.860001,62.860001,8300
2019-04-02,63.310001,64.000000,63.299999,63.919998,63.919998,54900
2019-04-03,63.830002,64.099998,63.419998,63.750000,63.750000,15200
2019-04-04,63.669998,63.830002,63.400002,63.415001,63.415001,11800
2019-04-05,63.790001,64.639999,63.740002,64.580002,64.580002,184000
2019-04-08,65.000000,65.830002,65.000000,65.750000,65.750000,22300
2019-04-09,65.510002,65.519997,65.099998,65.400002,65.400002,5000
2019-04-10,65.639999,66.209999,65.559998,65.809998,65.809998,7200
2019-04-11,65.459999,65.471001,64.856003,65.089996,65.089996,6300
2019-04-12,65.610001,65.699997,65.257004,65.257004,65.257004,4600
2019-04-15,64.949997,65.169998,64.610001,64.989998,64.989998,31900
2019-04-16,64.959999,65.657997,64.635002,65.657997,65.657997,9200
2019-04-17,65.570000,66.059998,65.166000,65.188004,65.188004,3400
2019-04-18,64.419998,65.424004,64.419998,65.424004,65.424004,6900
2019-04-22,66.870003,67.349998,66.839996,67.150002,67.150002,30600
2019-04-23,67.440002,67.930000,67.309998,67.724998,67.724998,20800
2019-04-24,67.800003,67.870003,67.120003,67.139999,67.139999,19500
2019-04-25,67.199997,67.199997,66.369003,66.369003,66.369003,4500
2019-04-26,65.720001,65.720001,63.599998,64.269997,64.269997,22100
2019-04-29,64.599998,65.010002,64.239998,64.940002,64.940002,11500
2019-04-30,65.559998,65.559998,64.766998,65.266998,65.266998,15500
2019-05-01,65.180000,65.250000,64.260002,64.955002,64.955002,7200
2019-05-02,63.380001,63.380001,62.310001,62.930000,62.930000,12400
2019-05-03,63.270000,63.639999,63.169998,63.169998,63.169998,4700
2019-05-06,62.830002,64.230003,62.830002,64.169998,64.169998,13300
2019-05-07,62.799999,62.939999,62.040001,62.560001,62.560001,31400
2019-05-08,62.701000,63.480000,62.701000,63.270000,63.270000,2700
2019-05-09,62.889999,62.950001,62.498001,62.893002,62.893002,107300
2019-05-10,63.000000,63.335999,62.900002,62.939999,62.939999,4900
2019-05-13,64.389999,64.620003,62.104000,62.178001,62.178001,14300
2019-05-14,63.070000,63.410000,62.939999,63.134998,63.134998,29100
2019-05-15,62.689999,63.750000,62.689999,63.709999,63.709999,7600
2019-05-16,64.300003,64.959999,64.300003,64.531998,64.531998,7200
2019-05-17,64.559998,65.070000,64.099998,64.178001,64.178001,11600
2019-05-20,64.459999,64.869003,64.150002,64.559998,64.559998,10500
2019-05-21,64.339996,64.584999,64.339996,64.419998,64.419998,1400
2019-05-22,63.720001,63.840000,62.325001,62.516998,62.516998,17600
2019-05-23,60.590000,60.720001,58.590000,59.316002,59.316002,51400
2019-05-24,60.200001,60.200001,58.745998,60.090000,60.090000,27600
2019-05-28,60.720001,60.720001,60.040001,60.040001,60.040001,11300
2019-05-29,58.810001,60.139999,58.150002,60.122002,60.122002,18700
2019-05-30,60.330002,60.330002,57.520000,57.709999,57.709999,24700
2019-05-31,56.230000,56.330002,54.220001,54.382000,54.382000,22500
2019-06-03,55.529999,55.530998,53.880001,53.965000,53.965000,26100
2019-06-04,54.310001,54.830002,53.840000,54.689999,54.689999,10000
2019-06-05,53.360001,53.994999,52.000000,52.849998,52.849998,30500
2019-06-06,52.740002,54.459999,52.299999,54.334000,54.334000,34600
2019-06-07,53.790001,55.339001,53.790001,55.189999,55.189999,21200
2019-06-10,55.160000,55.580002,54.227001,54.472000,54.472000,13700
2019-06-11,55.130001,55.130001,54.400002,54.491001,54.491001,8000
2019-06-12,53.470001,53.470001,52.000000,52.146999,52.146999,23900
2019-06-13,54.369999,54.369999,53.290001,53.342999,53.342999,34000
2019-06-14,53.720001,54.070000,53.419998,53.750000,53.750000,20900
2019-06-17,53.270000,53.660000,52.790001,53.088001,53.088001,12900
2019-06-18,53.919998,55.360001,53.919998,55.247002,55.247002,33300
2019-06-19,54.820000,55.573002,54.599998,55.573002,55.573002,8700
2019-06-20,57.410000,58.314999,57.055000,58.180000,58.180000,41400
2019-06-21,58.220001,58.681999,58.169998,58.660999,58.660999,16200
